raw_time,text_content
2022-02-12T08:53:07.000Z,MMDA ALERT: Vehicular accident at Commonwealth Tandang Sora EB involving taxi and motorcycle as of 4:47 PM. 1 lane occupied. MMDA on site. #mmda
2022-02-12T08:24:29.000Z,MMDA ALERT: Vehicular accident involving car and AUV at Edsa Ayala tunnel SB as of 4:13 PM. 1 lane occupied. MMDA on site. #mmda
2022-02-12T04:30:44.000Z,MMDA ALERT: Vehicular accident at EDSA Monte de Piedad SB involving motorcycle and taxi as of 12:27 PM. 1 lane occupied. MMDA on site. #mmda
2022-02-12T04:09:31.000Z,MMDA ALERT: Vehicular accident at Aurora Katipunan WB involving motorcycle and van as of 12:06 PM. 1 lane occupied. MMDA on site. #mmda
2022-02-12T02:00:45.000Z,MMDA ALERT: Vehicular accident at EDSA Trinoma NB involving closed van as of 9:45 AM. 1 occupied. MMDA on site. #mmda
2022-02-12T01:16:37.000Z,MMDA ALERT: Vehicular accident at EDSA Heritage SB involving car and motorcycle as of 9:13 AM. 1 occupied. MMDA on site. #mmda
2022-02-11T23:03:28.000Z,MMDA ALERT: Vehicular accident at Ortigas infront of Medical City involving closed van and bicycle as of 6:58 AM. 1 occupied. MMDA on site. #mmda
2022-02-11T21:09:44.000Z,MMDA ALERT: Vehicular accident at EDSA Balintawak SB involving Car (Bumangga sa Barrier) as of 4:43 AM. 1 lane occupied. Assisted by MMDA. #mmda
2022-02-11T23:03:28.000Z,MMDA ALERT: Vehicular accident at Ortigas infront of Medical City involving closed van and bicycle as of 6:58 AM. 1 occupied. MMDA on site. #mmda
2022-02-11T21:09:44.000Z,MMDA ALERT: Vehicular accident at EDSA Balintawak SB involving Car (Bumangga sa Barrier) as of 4:43 AM. 1 lane occupied. Assisted by MMDA. #mmda
2022-02-11T16:13:44.000Z,MMDA ALERT: Vehicular accident at EDSA Trinoma NB involving 2 Car's as of 12:06 AM. 1 lane occupied. Assisted by MMDA. #mmda
2022-02-11T08:53:04.000Z,MMDA ALERT: Vehicular accident at Commonwealth Manggahan EB involving truck and SUV as of 4:13 PM. 1 lane occupied. MMDA on site. #mmda
2022-02-11T07:32:18.000Z,MMDA ALERT: Vehicular accident at Ortigas Avenue WB involving bus and taxi as of 3:11 PM. 1 lane occupied. MMDA on site. #mmda
2022-02-11T03:28:37.000Z,MMDA ALERT: Vehicular accident at Roxas Blvd. Quirino SB involving pick up and car as of 11:13 AM. 1 occupied. MMDA on site. #mmda
2022-02-11T01:30:59.000Z,MMDA ALERT: Vehicular accident at Congressional Mindanao SB involving van and Ejeep as of 9:19 AM. 1 occupied. MMDA on site. #mmda
2022-02-10T22:25:47.000Z,MMDA ALERT: Vehicular accident at EDSA Boni SB involving 2 Motorcycle as of 6:04 AM. 1 occupied. MMDA on site. #mmda
2022-02-10T17:40:36.000Z,MMDA ALERT: Vehicular accident at C.P. Garcia SB involving Truck and Van as of 1:36 AM. 1 lane occupied. Assisted by MMDA. #mmda
2022-02-10T15:27:43.000Z,MMDA ALERT: Vehicular accident at Commonwealth Sandigan EB involving Tricycle and Motorcycle as of 11:18PM. 1 lane occupied. Assisted by MMDA. #mmda
2022-02-10T11:08:20.000Z,MMDA ALERT: Vehicular accident at Luzon flyover NB involving car and motorcycle as of 7:01 PM. 1 lane occupied. MMDA on site. #mmda
2022-02-10T09:22:46.000Z,MMDA ALERT: Vehicular accident at Mindanao Ave. after Road 20 fronting BJMP SB involving truck and motorcycle as of 5:07 PM. 1 lane occupied. MMDA on site. #mmda
2022-02-10T08:39:41.000Z,MMDA ALERT: Vehicular accident at EDSA Buendia split SB involving car and SUV as of 4:34 PM. 2 lanes occupied. MMDA on site. #mmda
2022-02-10T07:17:50.000Z,MMDA ALERT: Vehicular accident at Roxas Blvd Burgos EB involving pick-up and truck as of 2:52 PM. 1 lane occupied. MMDA assisted. #mmda
2022-02-10T03:50:40.000Z,MMDA ALERT: Vehicular accident at Quezon Ave Banawe WB involving car and pick-up as of 11:43 AM. 1 occupied. MMDA on site. #mmda
